ID,Country,Province,District,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Total,Serbs,Montenegrins,Croats,Bosniaks,Albanians,Bulgarians,Macedonians,Turks,Roma,Others,Unstated,Unknown,Hungarians,Slovaks,Aromanians,Muslims,Yugoslavs,Greeks,Romanians,Gorans,Egyptians,Ashkali,Italians,Russians,Ruthenians,Bunjevacis,Slovenians,Czechs,Ukrainians,Germans,Poles,Jews,Austrians,Vlachs,Armenian,English,French,Spanish,Swedish,Finnish,Portugese,Dutch,Danish,Nigerian,Sri Lankan,Indian,Pakistan,Bangladeshi,Chinese,Filippino,Vietnamese,Iran,Syrians,Turkmenistan,Azerbaijan,Maronite Arabs,Sunni Arabs,Shia Arabs,Orthodox Arabs,Copt Arabs,Catholic Arabs
BH001,Bosnia and Herzegovina,null,Banovići,Bosniaks,Others,Croats,Serbs,.,.,.,.,.,.,22773,237,0,284,21374,0,0,0,0,0,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH002,Bosnia and Herzegovina,null,Bihać,Bosniaks,Croats,Others,Serbs,.,.,.,.,.,.,56261,910,0,3265,49550,0,0,0,0,0,2536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH003,Bosnia and Herzegovina,null,Bosansko Grahovo,Serbs,Croats,Others,Bosniaks,.,.,.,.,.,.,2449,2028,0,393,6,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH004,Bosnia and Herzegovina,null,Breza,Bosniaks,Others,Croats,Serbs,.,.,.,.,.,.,14168,121,0,314,13154,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH005,Bosnia and Herzegovina,null,Bugojno,Bosniaks,Croats,Others,Serbs,.,.,.,.,.,.,31470,376,0,5767,24650,0,0,0,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH006,Bosnia and Herzegovina,null,Busovača,Croats,Bosniaks,Serbs,Others,.,.,.,.,.,.,17910,205,0,8873,8681,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH007,Bosnia and Herzegovina,null,Cazin,Bosniaks,Others,Croats,Serbs,.,.,.,.,.,.,66149,29,0,320,63463,0,0,0,0,0,2337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH008,Bosnia and Herzegovina,null,Čapljina,Croats,Bosniaks,Serbs,Others,.,.,.,.,.,.,26157,714,0,20538,4541,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH009,Bosnia and Herzegovina,null,Čitluk,Croats,Others,Bosniaks,Serbs,.,.,.,.,.,.,18140,18,0,17900,29,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH010,Bosnia and Herzegovina,null,Donji Vakuf,Bosniaks,Others,Serbs,Croats,.,.,.,.,.,.,13985,107,0,58,13376,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
