Old ID,ID,District
9618217B46803973144296,PK507,Sudhanoti
9618217B55768510626440,PK508,Neelam Valley
9618217B57894485120071,PK509,Muzaffarabad
9618217B64863264884629,PK510,Haveli
9618217B68732265330698,PK511,Bhimber
9618217B68754169353282,PK512,Hattian Bala (Jhelum)
9618217B73079690921862,PK513,Bagh
9618217B87664867246475,PK514,Poonch
9618217B93166287325125,PK515,Kotli
9618217B94086344698677,PK516,Mirpur
9618217B15965056410830,PK517,Ghizer
9618217B18607943062555,PK518,Hunza
9618217B24239170098361,PK519,Gilgit
9618217B25754962135590,PK520,Ghanche
9618217B26900800837648,PK521,Shigar
9618217B41750222117386,PK522,Diamer
9618217B70325037560475,PK523,Astore
9618217B70387484269248,PK524,Kharmang
9618217B7415913583848,PK525,Nagar
9618217B88498185372954,PK526,Skardu
1703,AF001,Arghanj Khwah
1702,AF002,Argo
1706,AF003,Baharak
1707,AF004,Darayim
1727,AF005,Darwaz-e-Bala
1722,AF006,Darwaz-e-Payin
1723,AF007,Eshkashim
1701,AF008,Faiz Abad
1710,AF009,Jurm
1705,AF010,Khash
1720,AF011,Khwahan
1726,AF012,Kiran Wa Menjan
1715,AF013,Kishim
1708,AF014,Kohistan
1721,AF015,Kufab
1714,AF016,Raghistan
1713,AF017,Shahri Buzurg
1719,AF018,Shighnan
1724,AF019,Shiki
1712,AF020,Shuhada
1717,AF021,Tagab
1711,AF022,Tashkan
1728,AF023,Wakhan
1716,AF024,Wardooj
1704,AF025,Yaftal-e-Sufla
1718,AF026,Yamgan
1709,AF027,Yawan
1725,AF028,Zebak
3102,AF029,Ab Kamari
3107,AF030,Ghormach
3106,AF031,Jawand
3103,AF032,Muqur
3105,AF033,Murghab
3104,AF034,Qadis
3101,AF035,Qala-i-Now
907,AF036,Andarab
905,AF037,Baghlan-e-Jadeed
910,AF038,Burka
902,AF039,Dahana-e-Ghuri
908,AF040,Deh Salah
903,AF041,Dushi
915,AF042,Firing Wa Gharu
914,AF043,Gozargah-e-Noor
906,AF044,Khinjan
913,AF045,Khost Wa Firing
909,AF046,Khwaja Hejran
904,AF047,Nahreen
912,AF048,Pul-e-Hisar
901,AF049,Pul-i-Khumri
911,AF050,Tala Wa Barfak
2106,AF051,Balkh
2111,AF052,Char Bolak
2104,AF053,Char Kent
2108,AF054,Chimtal
2109,AF055,Dawlat Abad
2103,AF056,Dehdadi
2113,AF057,Kaldar
2110,AF058,Khulm
2114,AF059,Kishindeh
2105,AF060,Marmul
2101,AF061,Mazar-e-Sharif
2102,AF062,Nahri Shahi
2107,AF063,Sholgara
2112,AF064,Shortepa
2115,AF065,Zari
1001,AF066,Bamyan
1004,AF067,Kahmard
1006,AF068,Panjab
1003,AF069,Saighan
1002,AF070,Shebar
1007,AF071,Waras
1005,AF072,Yakawlang
1008,AF073,Yakawlang No. 2
2405,AF074,Giti
2403,AF075,Ishterlai
2408,AF076,Kejran
2404,AF077,Khedir
2406,AF078,Miramor
2401,AF079,Nili
2409,AF080,Patoo
2407,AF081,Sang-e-Takht
2402,AF082,Shahristan
3307,AF083,Anar Dara
3308,AF084,Bakwa
3306,AF085,Bala Buluk
3301,AF086,Farah
3310,AF087,Gulistan
3303,AF088,Khak-i-Safed
3309,AF089,Lash-i-Juwayn
3311,AF090,Pur Chaman
3302,AF091,Pushtrud
3304,AF092,Qala-i-Kah
3305,AF093,Shibkoh
2904,AF094,Almar
2913,AF095,Andkhoy
2905,AF096,Bilchiragh
2909,AF097,Dawlat Abad
2908,AF098,Gurziwan
2914,AF099,Khani Charbagh
2903,AF100,Khwaja Sabz Posh
2910,AF101,Kohistan
2901,AF102,Maimana
2902,AF103,Pashtun Kot
2907,AF104,Qaisar
2911,AF105,Qaram Qul
2912,AF106,Qurghan
2906,AF107,Shirin Tagab
1113,AF108,Ab Band
1118,AF109,Ajristan
1107,AF110,Andar
1105,AF111,Deh Yak
1117,AF112,Gelan
1101,AF113,Ghazni
1112,AF114,Giro
1106,AF115,Jaghatu
1114,AF116,Jaghuri
1102,AF117,Khugyani
1103,AF118,Khwaja Omari
1116,AF119,Malistan
1115,AF120,Muqur
1119,AF121,Nawa
1110,AF122,Nawur
1111,AF123,Qara Bagh
1109,AF124,Rashidan
1104,AF125,Waghaz
1108,AF126,Zanakhan
2304,AF127,Char Sada
2301,AF128,Chighcheran
2303,AF129,Dawlatyar
2302,AF130,Duleena
2307,AF131,Lal Wa SarJangal
2305,AF132,Pasaband
2310,AF133,Saghar
2306,AF134,Shahrak
2308,AF135,Taywara
2309,AF136,Tulak
3012,AF137,Baghran
3013,AF138,Dishu
3006,AF139,Garm Ser
3010,AF140,Kajaki
3001,AF141,Lashkargah
3014,AF142,Marja
3009,AF143,Musa Qala
3002,AF144,Nad Ali
3004,AF145,Nahr-i-Saraj
3003,AF146,Nawa-i-Barikzayi
3015,AF147,Nawamish
3007,AF148,Nawzad
3011,AF149,Reg-e-Khan Nishin
3008,AF150,Sangin
3005,AF151,Washer
3209,AF152,Adraskan
3216,AF153,Chishti Sharif
3202,AF154,Enjil
3215,AF155,Farsi
3211,AF156,Ghoryan
3208,AF157,Gulran
3203,AF158,Guzera
3201,AF159,Herat
3204,AF160,Karrukh
3219,AF161,Koh-i-Zor
3213,AF162,Kohsan
3207,AF163,Kushk
3210,AF164,Kushk-i-Kuhna
3212,AF165,Obe
3206,AF166,Pashtun Zarghun
3218,AF167,Pusht-i-Koh
3214,AF168,Shindand
3220,AF169,Zawol
3205,AF170,Zendahjan
3217,AF171,Zer-i-Koh
2807,AF172,Aqchah
2811,AF173,Darzab
2808,AF174,Faizabad
2806,AF175,Khamyab
2803,AF176,Khanaqa
2802,AF177,Khwaja Dukoh
2809,AF178,Mardyan
2804,AF179,Mingajik
2810,AF180,Qarqin
2805,AF181,Qush Tepa
2801,AF182,Sheberghan
104,AF183,Bagrami
103,AF184,Chahar Asyab
105,AF185,DehSabz
113,AF186,Estalef
112,AF187,Farza
111,AF188,Guldara
101,AF189,Kabul
110,AF190,Kalakan
109,AF191,Khak-e-Jabar
108,AF192,Mir Bacha Kot
107,AF193,Musahi
102,AF194,Paghman
114,AF195,Qara Bagh
106,AF196,Shakar Dara
115,AF197,Surubi
2702,AF198,Arghandab
2708,AF199,Arghistan
2703,AF200,Daman
2717,AF201,Dand
2709,AF202,Ghorak
2701,AF203,Kandahar
2707,AF204,Khakrez
2710,AF205,Maiwand
2715,AF206,Maruf
2713,AF207,Miyanishin
2712,AF208,Nesh
2704,AF209,Panjwayee
