Old ID,ID,District
9618217B58090762247590,PK001,Abbottabad Tehsil
9618217B10477128024963,PK002,Havelian Tehsil
9618217B50149376018014,PK003,Attock Tehsil
9618217B26191403236071,PK004,Fateh Jang Tehsil
9618217B7124878941911,PK005,Hasan Abdal Tehsil
9618217B87894448087129,PK006,Hazro Tehsil
9618217B26860553208965,PK007,Jand Tehsil
9618217B75704590266710,PK008,Pindi Gheb Tehsil
9618217B88045410049707,PK009,Awaran Tehsil
9618217B50287416070494,PK010,Gishkore Sub-Tehsil
9618217B51211868721813,PK011,Jhal Jao Sub-Tehsil
9618217B85729493897021,PK012,Mashkai Tehsil
9618217B42438762041425,PK013,Badin Taluka
9618217B25857994222098,PK014,Golarchi (S.F.Rahu) Taluka
9618217B51119306822374,PK015,Matli Taluka
9618217B40875149607138,PK016,Talhar Taluka
9618217B60721372567355,PK017,Tando Bago Taluka
9618217B66715726514164,PK018,Bahawalnagar Tehsil
9618217B28318758204703,PK019,Chishtian Tehsil
9618217B32335001423443,PK020,Fort Abbas Tehsil
9618217B64963445448677,PK021,Haroonabad Tehsil
9618217B99235874147506,PK022,Minchinabad Tehsil
9618217B72387286824542,PK023,Ahmadpur East Tehsil
9618217B65956213169788,PK024,Bahawalpur City Tehsil
9618217B62144943216166,PK025,Bahawalpur Saddar Tehsil
9618217B38710441468568,PK026,Hasilpur Tehsil
9618217B97721699112019,PK027,Khairpur Tamewali Tehsil
9618217B66821366213948,PK028,Yazman Tehsil
9618217B38361138378149,PK029,Bar Chamer Kand Tehsil
9618217B27103402875346,PK030,Barang Tehsil
9618217B31254576320005,PK031,Khar Bajaur Tehsil
9618217B90172425710539,PK032,Mamund Tehsil
9618217B6749340310851,PK033,Nawagai Tehsil
9618217B53890861075426,PK034,Salarzai Tehsil
9618217B58376820156413,PK035,Utman Khel Tehsil
9618217B86252139157568,PK036,Bannu Tehsil
9618217B66102957616794,PK037,Domel Tehsil
9618217B63340805873154,PK038,Barkhan Tehsil
9618217B82118214800407,PK039,Allai Tehsil
9618217B42013741972359,PK040,Batagram Tehsil
9618217B37121610639704,PK041,Bhakkar Tehsil
9618217B62767421306838,PK042,Darya Khan Tehsil
9618217B20876188191816,PK043,Kalur Kot Tehsil
9618217B35028785472961,PK044,Mankera Tehsil
9618217B69506225279330,PK045,Daggar Tehsil
9618217B56430132914599,PK046,Gagra Tehsil
9618217B53498554126513,PK047,Khado Khel Tehsil
9618217B19880164202310,PK048,Chagai Sub-Tehsil
9618217B63356701438573,PK049,Dalbandin Tehsil
9618217B66554790075537,PK050,Nokundi Sub-Tehsil
9618217B2962159940384,PK051,Taftan Sub-Tehsil
9618217B61688476906431,PK052,Chakwal Tehsil
9618217B34165652086565,PK053,Choa Saidan Shah Tehsil
9618217B86534483810344,PK054,Kallar Kahar Tehsil
9618217B62547254689686,PK055,Tala Gang Tehsil
9618217B75469142361220,PK056,Charsadda Tehsil
9618217B19186468029110,PK057,Shabqadar Tehsil
9618217B49069937374752,PK058,Tangi Tehsil
9618217B38138021064938,PK059,Bhawana Tehsil
9618217B24634136652115,PK060,Chiniot Tehsil
9618217B62286570878948,PK061,Lalian Tehsil
9618217B14913426707390,PK062,Chitral Sub-Division
9618217B15142704211186,PK063,Mastuj Sub-Division
9618217B7115873754530,PK064,Dadu Taluka
9618217B70790113171892,PK065,Johi Taluka
9618217B45890743743061,PK066,Khairpur Nathan Shah Taluka
9618217B39967878013350,PK067,Mehar Taluka
9618217B34454311696398,PK068,Baiker Sub-Tehsil
9618217B2743598749374,PK069,Dera Bugti Tehsil
9618217B77093701307545,PK070,Loti Tehsil
9618217B39169315447774,PK071,Malam Sub-Tehsil
9618217B2654928190032,PK072,Phelawagh Tehsil
9618217B88157141720141,PK073,Pir Koh Sub-Tehsil
9618217B73869134124680,PK074,Sangsillah Sub-Tehsil
9618217B39625992285529,PK075,Sui Tehsil
9618217B85950255786241,PK076,De-Excluded Area D.G Khan Tehsil
9618217B12999720718980,PK077,Dera Ghazi Khan Tehsil
9618217B56078178956611,PK078,Taunsa Tehsil
9618217B74425880095030,PK079,Daraban Tehsil
9618217B8526825785603,PK080,Dera Ismail Khan Tehsil
9618217B58016841629421,PK081,Kulachi Tehsil
9618217B57090337990309,PK082,Paharpur Tehsil
9618217B16017881368538,PK083,Paroa Tehsil
9618217B96433352493749,PK084,Chak Jhumra Tehsil
9618217B49237159452791,PK085,Faisalabad City Tehsil
9618217B20006160177590,PK086,Faisalabad Sadar Tehsil
9618217B34983463675633,PK087,Jaranwala Tehsil
9618217B59102898761017,PK088,Sammundri Tehsil
9618217B47443696449960,PK089,Tandlian Wala Tehsil
9618217B87633366072343,PK090,Tribal Area Adj. Bannu District
9618217B12477470393515,PK091,Tribal Area Adj. Dera Ismail Khan District
9618217B32901696142370,PK092,Tribal Area Adj. Kohat District
