Data Year,ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Area,Population,ethnicity,Kazakhs,Kyrgyz,Karakalpaks,Turkmens,Uzbeks,Uyghurs,Tajiks,Pamiris,Yaghnobis,Sadats,Hazaras,Aimaq,Pashtuns,Pashai,Balochis,Persians,Hormuzi,Mazandaranis,Gilaks,Lurs,Kurds,Yazidis,Talyshs,Tats,Azerbaijanis,Armenians,Georgians,Abkhazians,Ossetians,Lezgins,Tsakhurs,Avars,Chechens,Kists,Ingush,Caucasians,Arabs,Muhajirs,Sindhis,Brahvis,Punjabis,Saraikis,Hindkis,Paharis,Haryanvi,Kashmiris,Nuristanis,Kohistanis,Khowari,Gurjars,Ormuris,Shinas,Baltis,Burushaskis,Other Dardic,Turks,Khorasani Turks,Qashqai,Tatars,Bashkirs,Chuvash,Other Turkic,Roma,Assyrians,Greeks,Jews,Russians,Ukrainians,Belarusians,Germans,Poles,Moldovans,Koreans,Dungans,Chinese,Kalmyks,Kryts,Udins,Karachays,Dargins,Khinalugs,Maris,Mordovians,Udmurts,Karelians,Komis,Kumyks ,Laks,Nogays,Tabasarans,Kabardians,Balkars,Buryats,Altaians,Bosha,Khakas,Komi-Permians,Karaites,Udis,Gagauz,Crimean Tatars,Lithuanians,Latvians,Estonians,Bulgarians,Hungarians,Romanians,Americans,Czechs,Finns,Italians,Afghans,Indians/Pakistanis,No specified nationality,Others,religion,Islam
,base,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,AF001,Afghanistan,Badakhshan,Arghanj Khwah,Tajiks,0.769993218,Tajiks,Pashtuns,Pamiris,.,.,.,.,.,.,.,2327,19169,,0,0,0,0,0,0,14760,575,0,0,0,0,3834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,AF002,Afghanistan,Badakhshan,Argo,Tajiks,0.600008572,Tajiks,Uzbeks,Uzbeks,.,.,.,.,.,.,.,1059,93327,,0,0,0,18665,18665,0,55997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,AF003,Afghanistan,Badakhshan,Baharak,Tajiks,0.600011668,Tajiks,Uzbeks,Pashtuns,.,.,.,.,.,.,.,324,34281,,0,0,0,0,11998,0,20569,0,0,0,0,0,1714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,AF004,Afghanistan,Badakhshan,Darayim,Tajiks,0.799997272,Tajiks,Uzbeks,Hazaras,.,.,.,.,.,.,.,585,73319,,0,0,0,0,10998,0,58655,0,0,0,3666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,AF005,Afghanistan,Badakhshan,Darwaz-e-Bala,Tajiks,1,Tajiks,.,.,.,.,.,.,.,.,.,1217,27565,,0,0,0,0,0,0,27565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,AF006,Afghanistan,Badakhshan,Darwaz-e-Payin,Tajiks,1,Tajiks,.,.,.,.,.,.,.,.,.,1589,31482,,0,0,0,0,0,0,31482,0,,0,0,0,0,0,0,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,0,0,,0,,0,0,0,0,0,,,,0,,,,0,,,,,,,,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,AF007,Afghanistan,Badakhshan,Eshkashim,Pamiris,0.800012113,Pamiris,Tajiks,.,.,.,.,.,.,.,.,1415,16511,,,,,0,0,,3302,13209,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,0,,0,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,AF008,Afghanistan,Badakhshan,Faiz Abad,Tajiks,0.749996953,Tajiks,Uzbeks,Pamiris,Pamiris,Pamiris,Turkmens,.,.,.,.,497,82055,,,,,1641,6564,,61541,4103,,0,4103,0,4103,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,0,,0,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,AF009,Afghanistan,Badakhshan,Jurm,Tajiks,0.950008883,Tajiks,Uzbeks,.,.,.,.,.,.,.,.,1225,45028,,,,,0,2251,,42777,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,0,,0,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
