Country,Population Data Year,Population Data Source,Population Data Quality,Ethnic/ Linguistic/ Citizenship,Ethnic Data Year,Ethnic Data Source,Ethnic Data Quality,Religion Data Year,Religion Data Source,Religion Data Quality,Citizens,Foreigners,Refugees,Diaspora,Notes
Benin,2013,A,,Ethnic,2013,A,,,,,,,,,
Burkina Faso,2019,A,,Ethnic,2019,A,,,,,,,,,
Côte d'Ivoire,2021,A,,Ethnic,2021,A,,,,,,,,,
Gambia,2024,A,,Ethnic,2024,A,,,,,,,,,
Ghana,2021,A,,Ethnic,2021,A,,,,,,,,,
Guinea,2014,A,,Linguistic,2014,A,,,,,,,,,
Guinea-Bissau,2008,A,,Ethnic,2008,A,,,,,,,,,
Liberia,2022,A,,Ethnic,2022,A,,,,,,,,,
Mali,2009,A,,Linguistic,2009,A,,,,,,,,,
Senegal,2013,A,,Linguistic,2013,A,,,,,,,,,
Sierra Leone,2015,A,,Ethnic,2015,A,,,,,,,,,
