Data Year,ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Area,Population,ethnicity,Han Chinese,Hui,Tibetans,Koreans,Manchu,Japanese,Ainu,Mongols,Oirats,Buryats,Tuvans,Uyghurs,Kazakhs,Kyrgyz,Uzbeks,Tatars,Pamiris,Hmong,Yi,Zhuang,Bouyei,Dong,Yao,Bai,Tujia,Hani,Dai,Li,Lisu,Wa,She,Lahu,Sui,Dongxiang,Nakhi,Kachin,Tu,Daur,Mulao,Qiang,Blang,Salar,Maonan,Gelao,Sibe,Achang,Pumi,Nu,Russian,Evenk,De'ang,Bonan,Yugur,Vietnamese,Derung,Oroqen,Nanai,Monpa,Lhoba,Jino,Formosans,Portugese,Others,Naturalized Citizen,China,Taiwan,Japan,Vietnam,Cambodia,Philippines,Indonesia,Nepal,Uzbekistan,America,Thailand,Brazil,Sri Lanka,India,Peru,Bangladesh,Pakistan,Myanmar,Korea,Mongolia,United Kingdom,France,Russia,Malaysia,Canada,Australia,Germany,Turkey,Korea,Bolivia,Afghanistan,Italy,White,Other Asians,Other Europeans,Other West Asians/North Africans,Other Africans,Other Americas,Other Pacific Islanders,Stateless,Other Foreigners,religion,Largest Religion,Share of Population,Irreligious
,base,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0001,Beijing,1101,Dongcheng District,Han Chinese,0.9363,Han Chinese,Manchu,Hui,Mongols,Koreans,Tujia,Zhuang,Hmong,Uyghurs,Yi,42,708829,,663675,14417,174,786,21189,0,0,5282,0,0,0,318,69,6,2,3,3,374,216,382,67,124,75,135,585,63,43,15,31,0,0,0,3,81,34,3,14,171,24,33,0,47,4,10,214,0,0,0,28,46,0,9,5,2,0,13,7,5,0,9,3,,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0002,Beijing,1101,Xicheng District,Han Chinese,0.9307,Han Chinese,Hui,Manchu,Mongols,Koreans,Tujia,Zhuang,Hmong,Uyghurs,Tibetans,50,1106214,,1029582,30345,453,1422,29810,0,0,8031,0,0,0,549,169,6,8,5,3,720,355,780,153,255,171,335,1325,51,89,28,21,30,129,36,20,151,50,0,32,234,11,55,0,151,14,84,352,0,0,0,55,16,0,5,9,0,0,20,23,2,0,0,7,,51,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0003,Beijing,1101,Chaoyang District,Han Chinese,0.9428,Han Chinese,Manchu,Hui,Mongols,Koreans,Tujia,Tibetans,Zhuang,Hmong,Yi,466,3452460,,3254853,55578,3874,9698,83902,0,0,23214,0,0,0,1042,344,59,9,2,9,2774,1568,2789,662,1148,735,1176,4286,273,324,200,81,118,335,91,103,84,189,109,90,622,113,274,0,53,97,153,876,24,0,17,123,78,9,0,24,5,5,31,14,18,6,0,31,,152,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0004,Beijing,1101,Fengtai District,Han Chinese,0.9585,Han Chinese,Manchu,Hui,Mongols,Tujia,Koreans,Hmong,Zhuang,Dong,Yi,305,2019764,,1935998,23396,290,2146,36439,0,0,10722,0,0,0,418,18,5,4,8,7,1567,646,1160,322,766,248,331,3016,54,64,107,0,116,217,30,43,83,24,12,80,245,85,72,14,52,0,432,382,0,0,0,25,4,0,0,3,2,0,23,34,0,0,0,8,,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0005,Beijing,1101,Shijingshan District,Han Chinese,0.9620,Han Chinese,Manchu,Hui,Mongols,Koreans,Zhuang,Tujia,Yi,Hmong,Uyghurs,84,567851,,546295,4383,107,842,9418,0,0,3028,0,0,0,221,61,0,7,0,0,396,427,667,181,188,115,195,622,30,50,18,9,26,47,0,34,13,16,9,31,135,12,33,0,3,0,25,139,12,0,0,29,9,0,0,5,0,0,3,3,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0006,Beijing,1101,Haidian District,Han Chinese,0.9395,Han Chinese,Manchu,Mongols,Hui,Tujia,Koreans,Zhuang,Hmong,Uyghurs,Yi,430,3133469,,2943911,29515,2406,7709,72983,0,0,30516,0,0,0,4158,1298,118,57,22,4,5624,3046,6041,1299,2150,1856,1854,8307,517,459,594,192,232,974,530,153,978,373,72,246,1147,281,353,78,74,82,628,1378,7,40,20,213,242,8,32,68,15,5,110,138,16,3,22,80,,209,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0007,Beijing,1101,Mentougou District,Han Chinese,0.9832,Han Chinese,Manchu,Mongols,Hui,Hmong,Tujia,Koreans,Zhuang,Qiang,Yi,1448,392606,,385992,971,3,124,3676,0,0,1022,0,0,0,17,0,0,0,0,0,237,34,89,20,26,20,17,221,0,20,4,0,0,0,0,14,0,7,0,4,12,7,36,0,0,0,19,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0008,Beijing,1101,Fangshan District,Han Chinese,0.9666,Han Chinese,Manchu,Hui,Mongols,Tujia,Hmong,Koreans,Zhuang,Zhuang,Yi,1995,1312778,,1268983,7370,110,514,26955,0,0,4702,0,0,0,88,0,0,0,0,3,710,385,387,387,118,93,124,1132,33,5,4,25,18,33,0,26,0,4,0,21,58,4,13,0,0,0,55,181,0,0,0,9,21,0,0,0,0,0,0,4,0,0,0,0,,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
,CH0009,Beijing,1101,Tongzhou District,Han Chinese,0.9631,Han Chinese,Hui,Manchu,Mongols,Koreans,Zhuang,Tujia,Hmong,Uyghurs,Yi,902,1840295,,1772338,38918,254,2335,14595,0,0,5857,0,0,0,583,79,0,0,0,4,862,484,1318,289,251,121,106,998,43,18,36,0,123,50,0,0,31,13,0,82,122,28,0,0,0,0,12,226,0,0,0,26,21,0,0,5,0,3,0,26,0,0,0,21,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,
