Data Year,ID,OKTMO ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Area,Population,ethnicity,Not indicated,Russians,Ukrainians,Belarusians,Poles,Bulgarians,Serbs,Kamchadal,Czechs,Slovenians,Slovaks,Macedonians,Croats,Bosnians,Yugoslavs,Rusyns,Montenegrins,Lithuanians,Latvians,Germans,Americans,British,Dutch,Austrians,Swedes,Belgians,Canadians,Australians,Irish,Norse,Swiss,Danes,New Zealanders,Icelanders,Luxembourgers,Moldovans,Romanians,French people,Italians,Spaniards,Portuguese,Monegasque,Armenians,Khemshili,Greeks,Cypriots,Albanians,Basque,Jews,"""Israelis""",Mountain Jews,Karaites,Krymchaks,Georgian Jews,Central Asian Jews,Arabs,Assyrians,Georgians,Chechens,Kistins,Ingush,Avars,Dargins,Laks,Lezgins,Tabasarans,Rutulians,Aguly,Tsakhur,Udini,"""Dagestanians""","""Caucasians""",Kabardians,Adyghe people,Circassians,Abazins,Abkhazians,Shapsugi,Ossetians,Tajiks,Yazidis,Kurds,Afghans,Persians,Talysh,Tats,Pakistanis,Pamiris,Gypsies,Central Asian gypsies,Indians,Bangladeshis,Sri Lankans,Nepalese,Maldivians,Tatars,Crimean Tatars,Bashkirs,Chuvash,Kazakhs,Azerbaijanis,Kumyks,Yakuts (Sakha),Uzbeks,Tuvans,Karachais,Balkars,Turks,Meskhetian Turks,Nogais,Kyrgyz,Altaians,Khakassians,Turkmens,Gagauz,Shors,Nagaibaki,Dolgans,Uyghurs,Kumandins,Teleuts,Bulgars,Karakalpaks,Tofalar (tofa),Chulym people,"""Turks""",Mordva,Udmurts,Mari,Komi,Komi-Permyaks,Karelians,Khanty,Finns,Estonians,Muncie,Vepsians,Hungarians,Besermyane,Sami,Izhorians,Vod,Nenets,Selkups,Nganasans,Enets,Kamasinians,Buryats,Kalmyks,Soyots,Mongols,Dauras,Evenks,Evens (Lamuts),Nanai people,Ulchi,Udege people,Orochi,Negidalians,Uilta (Oroks),Basins,Chukchi,Koryaks,Itelmens,Kereki,Yukaghirs,Chuvans,Eskimos,Aleuts,Chum salmon,Nivkhi,Koreans,Ainu,Japanese,Chinese,Dungans,Manchus,Sibo,Burmese,Vietnamese,Indonesians,Cambodians,Laotians,Malays,Thais,Filipinos,New Guineans,Polynesians,Berbers,Angolans,Beninese,Bissau-Guineans,Botswanans,Burkinabe people,Burundians,Gabonese,Gambians,Ghanaians,Guineans,Zairians,Zambians,Zimbabweans,Cape Verdeans,Cameroonians,Kenyans,Congolese,Kotdivoirians,Liberians,Mauritians,Malawians,Malagasy,Malians,Mozambicans,Namibians,Nigerians,Nigeriens,Rwandans,Senegalese,Somalis,Sudanese,Sierra Leoneans,Tanzanians,Togolese,Ugandans,Chadians,Equatorians,Eritreans,Ethiopians,South Africans,"""Africans""",Haitians,Jamaicans,Argentines,Bolivians,Brazilians,Venezuelans,Guatemalans,Hondurans,Dominicans,Colombians,Costa Ricans,Cubans,Mexicans,Nicaraguans,Panamanians,Paraguayans,Peruvians,Puerto Ricans,Salvadorans,Uruguayans,Chileans,Ecuadorians,"""Latin Americans""","""Mestizos""","""Mulattos""","""National Men""","""Russians""",Other,religion,Orthodoxy
 ,base,,,,,,0,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2010,RU0001,10 605 000,Far Eastern,Amurskaya,Arkharinskiy,Russians,0.951472,Russians,Ukrainians,Not indicated,Not indicated,Azerbaijanis,Tatars,Armenians,Germans,Gypsies,Chuvash,14338,17186,,62,16352,258,62,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,10,3,0,3,0,0,0,0,0,0,20,0,0,0,0,0,0,53,0,13,19,0,54,0,3,19,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2010,RU0002,10 710 000,Far Eastern,Amurskaya,Belogorsk,Russians,0.904564,Russians,Ukrainians,Not indicated,Armenians,Belarusians,Tatars,Azerbaijanis,Germans,Uzbeks,Moldovans,106,68716,,457,62158,1180,181,21,5,0,0,4,0,6,0,0,0,0,0,0,12,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,189,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19,3,0,0,3,4,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0,5,0,0,0,0,0,0,31,0,0,0,0,0,0,170,0,35,34,15,99,0,6,56,0,0,0,0,0,6,10,0,0,4,3,0,0,0,0,0,0,0,6,0,0,0,26,10,24,3,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2010,RU0003,10 508 000,Far Eastern,Amurskaya,Belogorskiy,Russians,0.854678,Russians,Ukrainians,Belarusians,Not indicated,Azerbaijanis,Armenians,Tatars,Chuvash,Mari,Mari,2663,20052,,113,17138,783,121,13,4,0,0,0,0,0,0,0,0,0,0,0,6,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,36,0,7,21,0,80,0,0,15,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,19,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2010,RU0004,10 701 000,Far Eastern,Amurskaya,Blagoveshchensk,Russians,0.930161,Russians,Ukrainians,Not indicated,Armenians,Azerbaijanis,Belarusians,Chinese,Tatars,Uzbeks,Koreans,350,219847,,1863,204493,2769,562,58,15,0,0,0,0,0,0,0,0,5,0,0,25,18,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,1508,0,7,0,3,0,55,0,0,0,0,0,0,0,5,87,17,0,6,39,0,7,18,3,0,0,33,0,20,0,6,3,3,6,0,0,23,155,0,0,0,0,0,0,0,4,44,0,0,0,0,0,0,525,0,61,110,62,564,10,33,420,72,3,3,0,0,6,23,3,12,40,18,0,0,0,5,0,0,0,0,0,0,0,78,42,30,3,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,53,0,3,6,0,6,0,0,0,5,0,3,0,0,0,0,0,0,0,306,0,6,546,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,,0
2010,RU0005,10 611 000,Far Eastern,Amurskaya,Blagoveshchenskiy,Russians,0.884476,Russians,Ukrainians,Armenians,Belarusians,Not indicated,Azerbaijanis,Uzbeks,Tatars,Koreans,Germans,2878,19641,,67,17372,724,106,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,139,0,6,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,43,0,11,14,7,62,0,0,60,0,0,0,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2010,RU0006,10 515 000,Far Eastern,Amurskaya,Bureyskiy,Russians,0.928063,Russians,Ukrainians,Not indicated,Belarusians,Armenians,Tatars,Azerbaijanis,Germans,Uzbeks,Bashkirs,7258,24021,,181,22293,428,128,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,114,0,4,0,0,0,4,0,0,0,0,0,0,0,0,20,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,33,17,9,80,0,0,34,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,19,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,,0
2010,RU0007,10 528 000,Far Eastern,Amurskaya,Ivanovskiy,Russians,0.863744,Russians,Ukrainians,Belarusians,Not indicated,Armenians,Uzbeks,Azerbaijanis,Tatars,Tatars,Bashkirs,2690,26509,,129,22897,529,347,19,0,0,0,0,0,0,0,0,0,0,0,0,6,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,106,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,32,25,7,57,0,0,66,0,3,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,9,8,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,53,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2010,RU0008,10 630 000,Far Eastern,Amurskaya,Konstantinovskiy,Russians,0.870245,Russians,Ukrainians,Not indicated,Belarusians,Armenians,Tatars,Azerbaijanis,Germans,Germans,Chuvash,1698,12986,,278,11301,511,216,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,155,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,6,20,4,84,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,5,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,0
2010,RU0009,10 631 000,Far Eastern,Amurskaya,Magdagachinskiy,Russians,0.963522,Russians,Ukrainians,Armenians,Not indicated,Belarusians,Tatars,Uzbeks,Azerbaijanis,Bulgarians,Moldovans,16882,22671,,77,21844,201,67,4,21,0,0,0,0,0,0,0,0,0,0,0,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,6,15,3,25,0,0,30,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,13,5,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
