ID,Old ID1,Old ID,Country,Province,District
IN0001,4806,4806,Andaman & Nicobar Islands,Nicobars,Car Nicobar
IN0002,4808,4808,Andaman & Nicobar Islands,Nicobars,Great Nicobar
IN0003,4807,4807,Andaman & Nicobar Islands,Nicobars,Nancowry
IN0004,4809,4809,Andaman & Nicobar Islands,North  & Middle Andaman,Diglipur
IN0005,4810,4810,Andaman & Nicobar Islands,North  & Middle Andaman,Mayabunder
IN0006,4811,4811,Andaman & Nicobar Islands,North  & Middle Andaman,Rangat
IN0007,4812,4812,Andaman & Nicobar Islands,South Andaman,Ferrargunj
IN0008,4814,4814,Andaman & Nicobar Islands,South Andaman,Little Andaman
IN0009,4813,4813,Andaman & Nicobar Islands,South Andaman,Port Blair
IN0010,5862,5862,Andhra Pradesh,Anantapur,Agali
IN0011,5869,5869,Andhra Pradesh,Anantapur,Amadagur
IN0012,5859,5859,Andhra Pradesh,Anantapur,Amarapuram
IN0013,5838,5838,Andhra Pradesh,Anantapur,Anantapur
IN0014,5830,5830,Andhra Pradesh,Anantapur,Atmakur
IN0015,5845,5845,Andhra Pradesh,Anantapur,Bathalapalle
IN0016,5826,5826,Andhra Pradesh,Anantapur,Beluguppa
IN0017,5815,5815,Andhra Pradesh,Anantapur,Bommanahal
IN0018,5828,5828,Andhra Pradesh,Anantapur,Brahmasamudram
IN0019,5853,5853,Andhra Pradesh,Anantapur,Bukkapatnam
IN0020,5837,5837,Andhra Pradesh,Anantapur,Bukkaraya Samudram
IN0021,5855,5855,Andhra Pradesh,Anantapur,Chennekothapalle
IN0022,5874,5874,Andhra Pradesh,Anantapur,Chilamathur
IN0023,5812,5812,Andhra Pradesh,Anantapur,D.Hirehal
IN0024,5844,5844,Andhra Pradesh,Anantapur,Dharmavaram
IN0025,5850,5850,Andhra Pradesh,Anantapur,Gandlapenta
IN0026,5832,5832,Andhra Pradesh,Anantapur,Garladinne
IN0027,5818,5818,Andhra Pradesh,Anantapur,Gooty
IN0028,5870,5870,Andhra Pradesh,Anantapur,Gorantla
IN0029,5860,5860,Andhra Pradesh,Anantapur,Gudibanda
IN0030,5827,5827,Andhra Pradesh,Anantapur,Gummagatta
IN0031,5817,5817,Andhra Pradesh,Anantapur,Guntakal
IN0032,5872,5872,Andhra Pradesh,Anantapur,Hindupur
IN0033,5851,5851,Andhra Pradesh,Anantapur,Kadiri
IN0034,5829,5829,Andhra Pradesh,Anantapur,Kalyandurg
IN0035,5842,5842,Andhra Pradesh,Anantapur,Kambadur
IN0036,5843,5843,Andhra Pradesh,Anantapur,Kanaganapalle
IN0037,5814,5814,Andhra Pradesh,Anantapur,Kanekal
IN0038,5854,5854,Andhra Pradesh,Anantapur,Kothacheruvu
IN0039,5831,5831,Andhra Pradesh,Anantapur,Kudair
IN0040,5841,5841,Andhra Pradesh,Anantapur,Kundurpi
IN0041,5873,5873,Andhra Pradesh,Anantapur,Lepakshi
IN0042,5858,5858,Andhra Pradesh,Anantapur,Madakasira
IN0043,5847,5847,Andhra Pradesh,Anantapur,Mudigubba
IN0044,5867,5867,Andhra Pradesh,Anantapur,Nallacheruvu
IN0045,5852,5852,Andhra Pradesh,Anantapur,Nallamada
IN0046,5849,5849,Andhra Pradesh,Anantapur,Nambulipulikunta
IN0047,5836,5836,Andhra Pradesh,Anantapur,Narpala
IN0048,5866,5866,Andhra Pradesh,Anantapur,Obuladevaracheruvu
IN0049,5823,5823,Andhra Pradesh,Anantapur,Pamidi
IN0050,5863,5863,Andhra Pradesh,Anantapur,Parigi
IN0051,5822,5822,Andhra Pradesh,Anantapur,Peddapappur
