Data Year,ID,Old ID1,Old ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Density,Area,Population,ethnicity,Assamese,Bengali,Chakma,Haijong/Hajong,Rajbangsi,Other Bengali,Boro,Dogri,Gujarati,Saurashtra,Other Gujarati,Awadhi,Bagheli,Bagri Rajasthani,Banjari,Bhadrawahi,Gaddi,Bhojpuri,Brajbhasha,Bundeli,Chambeali,Chhattisgarhi,Churahi,Dhundhari,Garhwali,Gojri,Harauti,Haryanvi,Hindi,Jaunpuri,Kangri,Khari Boli,Khortha,Kulvi,Kumauni,Kurmali Thar,Lambadi,Laria,Lodhi,Magahi,Malvi,Mandeali,Marwari,Mewari,Mewati,Nagpuria,Nimadi,Pahari,Pawari,Rajasthani,Sadri,Sirmauri,Sondwari,Sugali,Surgujia,Surjapuri,Other Hindi,Badaga,Kannada,Other Kannada,Kashmiri,Siraji,Other Kashmiri,Konkani,Gorboli,Other Konkani,Maithili,Purbi Maithili and Others,Thati,Tharu,Malayalam,Other Malayalam,Manipuri,Are,Marathi,Other Marathi,Nepali,Bhatri,Bhuiya,Bhumijali,Desia,Odia,Proja,Sambalpuri,Other Odia,Bagri,Bilaspuri Kahluri,Punjabi,Bhateali and Others,Sanskrit,Karmali,Santali,Mahili and Others,Kachchhi,Sindhi,Other Sindhi,Tamil,Yerukala,Other Tamil,Telugu,Vadari,Other Telugu,Urdu,Other Urdu,Adi,Talgalo,Other Adi,Pashto,Anal,Angami,Ao,Chungli,Mongsen and Others,Arabic,Balti,Baori,Barel,Bhilali,Bhili,Chodhari,Gamti,Garasia,Kokna,Mawchi,Paradhi,Pawri,Varli,Vasava,Wagdi,Other Bhili,Bhotia,Bauti and Others,Bhumij,Bishnupriya Manipuri,Chakhesang,Chang,Coorgi,Deori,Dimasa,English,Gadaba,Gangte,Garo,Gondi,Other Gondi,Halabi,Halam,Hmar,Ho,Jatapu,Juang,Kabui,Rongmei,Karbi,Ahirani,Dangi,Gujari,Other Khandeshi,Kharia,Khasi,Pnar,War,Other Khasi,Khezha,Other Khezha,Khiemnungan,Other Khiemnungan,Khond,Kuvi,Kinnauri,Kisan,Koch,Koda,Kolami,Konda,Konyak,Korku,Koraku,Koya,Kui,Kuki,Kurukh,Ladakhi,Lahauli,Hindi Multani (Lahnda),Other Lahnda,Mara,Lalung,Lepcha,Liangmei,Limbu,Lotha,Mizo,Pahariya,Other Malto,Mao,Paola,Maram,Maring,Mishing,Mishmi,Mogh,Monpa,Munda,Other Munda,Mundari,Nicobarese,Nissi,Tagin,Apatani and Others,Nocte,Paite,Dhurwa,Pawi,Phom,Pochury,Rabha,Rai,Rengma,Sangtam,Savara,Sema,Sherpa,Shina,Tamang,Tangkhul,Tutcha Tangsa,Thado,Tibetan,Purkhi,Other Tibetan,Kokbarak,Reang,Other Tripuri,Tulu,Vaiphei,Wancho,Yimchungre,Other Yimchungre,Zeliang,Zemi,Zou,Others
0,,,,,,,,,,,,,,,,,,,,,,,Assamese,Bengali,Bengali,Bengali,Bengali,Bengali,Bodo/Boro,Dogri,Gujarati,Gujarati,Gujarati,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Kannada,Kannada,Kannada,Kashmiri,Kashmiri,Kashmiri,Konkani,Konkani,Konkani,Maithili,Maithili,Maithili,Maithili,Malayalam,Malayalam,Manipuri,Marathi,Marathi,Marathi,Nepali,Odia,Odia,Odia,Odia,Odia,Odia,Odia,Odia,Punjabi,Punjabi,Punjabi,Punjabi,Sanskrit,Santali,Santali,Santali,Sindhi,Sindhi,Sindhi,Tamil,Tamil,Tamil,Telugu,Telugu,Telugu,Urdu,Urdu,Adi,Adi,Adi,Pashto,Anal,Angami,Ao,Ao,Ao,Arabic,Balti,Bhili,Bhili,Bhili,Bhili,Bhili,Bhili,Bhili,Bhili,Bhili,Bhili,Bhili,Bhili,Bhili,Bhili,Bhili,Bhotia,Bhotia,Bhumij,Bishnupriya Manipuri,Chakhesang,Chang,Coorgi,Deori,Dimasa,English,Gadaba,Gangte,Garo,Gondi,Gondi,Halabi,Halam,Hmar,Ho,Jatapu,Juang,Kabui,Kabui,Karbi,Khandeshi,Khandeshi,Khandeshi,Khandeshi,Kharia,Khasi,Khasi,Khasi,Khasi,Khezha,Khezha,Khiemnungan,Khiemnungan,Khond,Khond,Kinnauri,Kisan,Koch,Koda,Kolami,Konda,Konyak,Korku,Koraku,Koya,Kui,Kuki,Kurukh,Ladakhi,Lahauli,Lahnda,Lahnda,Lakher,Lalung,Lepcha,Liangmei,Limbu,Lotha,Mizo,Malto,Malto,Mao,Mao,Maram,Maring,Mishing,Mishmi,Mogh,Monpa,Munda,Munda,Mundari,Nicobarese,Nissi,Nissi,Nissi,Nocte,Paite,Dhurwa,Pawi,Phom,Pochury,Rabha,Rai,Rengma,Sangtam,Savara,Sema,Sherpa,Shina,Tamang,Tangkhul,Tangsa,Thado,Tibetan,Tibetan,Tibetan,Tripuri,Tripuri,Tripuri,Tulu,Vaiphei,Wancho,Yimchungre,Yimchungre,Zeliang,Zemi,Zou,Others
0,base,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,IN0001,4806,4806,Andaman & Nicobar Islands,Nicobars,Car Nicobar,Nicobarese,0.886105039,Nicobarese,Hindi,Bengali,Tamil,Telugu,Malayalam,Sadri,Punjabi,Odia,Odia,,,17841,,13,381,0,0,0,0,0,8,14,1,0,3,0,0,0,0,0,28,0,1,0,0,0,0,13,0,0,21,562,0,0,0,0,0,13,0,0,0,0,6,0,0,2,2,0,0,0,2,0,10,50,0,0,0,0,0,9,0,9,0,6,0,0,2,0,0,8,0,0,0,162,0,3,0,19,28,6,0,0,0,0,32,0,0,0,0,0,34,4,0,0,0,0,0,0,0,351,0,0,176,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,15809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2011,IN0002,4808,4808,Andaman & Nicobar Islands,Nicobars,Great Nicobar,Tamil,0.130393211,Tamil,Hindi,Telugu,Nicobarese,Kurukh,Sadri,Bengali,Malayalam,Punjabi,Others,,,8367,,2,583,0,0,0,1,0,6,1,0,0,2,0,0,0,0,0,32,0,0,0,1,0,0,6,0,1,17,1078,0,0,0,1,0,4,0,0,0,0,1,0,0,3,0,0,1,0,0,0,2,817,0,0,0,0,0,1,0,4,0,1,0,0,1,0,0,2,0,0,0,339,1,0,0,151,0,12,0,0,0,0,40,0,0,0,0,0,334,0,1,0,209,0,0,0,0,1091,0,0,1052,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,177,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237
2011,IN0003,4807,4807,Andaman & Nicobar Islands,Nicobars,Nancowry,Nicobarese,0.705002821,Nicobarese,Tamil,Sadri,Bengali,Hindi,Kurukh,Telugu,Malayalam,Kharia,Munda,,,10634,,3,473,0,0,0,0,2,2,2,0,5,0,0,0,0,0,0,12,2,1,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,537,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,160,0,0,0,4,0,3,0,0,0,0,21,0,0,0,3,0,6,4,0,0,7,0,0,0,0,806,0,0,263,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,16,7497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,7
2011,IN0004,4809,4809,Andaman & Nicobar Islands,North  & Middle Andaman,Diglipur,Bengali,0.72049186,Bengali,Sadri,Kurukh,Hindi,Telugu,Tamil,Malayalam,Kharia,Munda,Others,,,43183,,3,31113,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,36,0,0,0,2,0,0,1,0,0,13,1485,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,4189,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,791,0,2,0,8,0,10,0,0,0,0,29,0,0,0,0,0,28,0,0,0,10,3,0,0,0,1314,0,0,1335,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,473,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,23,133,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,158
2011,IN0005,4810,4810,Andaman & Nicobar Islands,North  & Middle Andaman,Mayabunder,Bengali,0.41422367,Bengali,Sadri,Hindi,Telugu,Others,Tamil,Kurukh,Malayalam,Kharia,Munda,,,25788,,3,10682,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,2343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2787,0,0,0,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,718,0,0,0,4,0,14,0,0,0,0,23,0,0,1,0,0,21,15,0,0,2,0,0,0,0,1735,0,0,2224,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1687,0,0,0,0,0,0,0,0,0,5,8,0,0,0,1,0,0,0,0,0,0,520,0,16,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2062
2011,IN0006,4811,4811,Andaman & Nicobar Islands,North  & Middle Andaman,Rangat,Bengali,0.409736253,Bengali,Sadri,Telugu,Tamil,Kurukh,Hindi,Malayalam,Kharia,Munda,Nicobarese,,,36626,,0,15007,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4707,0,0,0,0,0,22,0,15,0,3,0,0,2,0,4,0,0,0,0,1824,0,0,0,8,0,17,0,0,0,0,43,0,0,1,0,0,35,3,0,0,4,0,0,1,0,3227,0,0,3271,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982,0,231,293,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
2011,IN0007,4812,4812,Andaman & Nicobar Islands,South Andaman,Ferrargunj,Bengali,0.242341081,Bengali,Malayalam,Hindi,Tamil,Telugu,Sadri,Kurukh,Kharia,Munda,Nicobarese,,,53565,,4,12981,0,0,0,0,0,1,1,0,12,1,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,8768,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3359,0,0,0,0,0,16,0,3,0,1,0,0,2,0,0,8,0,0,0,9211,0,0,0,22,0,75,0,0,0,0,54,0,0,0,0,0,84,13,0,0,25,0,0,0,2,7634,0,0,7040,0,0,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,112,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
2011,IN0008,4814,4814,Andaman & Nicobar Islands,South Andaman,Little Andaman,Bengali,0.486001169,Bengali,Telugu,Kurukh,Nicobarese,Tamil,Sadri,Hindi,Malayalam,Munda,Kharia,,,18823,,3,9148,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1123,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,595,0,0,0,0,0,11,0,0,0,0,29,0,0,0,0,0,21,6,0,0,1,0,0,0,0,1349,0,0,2413,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,5,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
