Country,Population Data Year,Population Data Source,Population Data Quality,Ethnic/ Linguistic/ Citizenship,Ethnic Data Year,Ethnic Data Source,Ethnic Data Quality,Religion Data Year,Religion Data Source,Religion Data Quality,Citizens,Foreigners,Refugees,Diaspora,Notes
Brunei,2021,A,,Ethnic,2021,A,,,,,Y,,,,
Cambodia,2013,A,,Linguistic,2013,A,,,,,Y,,,,
Indonesia,2010,A,,Linguistic,2010,A,,,,,Y,,,,
Laos,2015,A,,Ethnic,2015,A,,,,,Y,,,,
Malaysia,2023,A,,Ethnic,2023,A,,,,,Y,,,,
Myanmar,2019,B,,Ethnic,2019,B,,,,,Y,,,,
Philippines,2020,A,,Ethnic,2020,A,,,,,Y,,,,
Singapore,2015,A,,Ethnic,2015,A,,,,,Y,,,,
Thailand,2010,A,,Linguistic,2010,A,,,,,Y,,,,
Timor-Leste,2015,A,,Linguistic,2015,A,,,,,Y,,,,
Vietnam,2019,A,,Ethnic,2019,A,,,,,Y,,,,
