Data Year,ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,oneReligion,twoReligion,threeReligion,fourReligion,fiveReligion,sixReligion,sevenReligion,eightReligion,nineReligion,tenReligion,Density,Area,Population,ethnicity,Serbs,Montenegrins,Croats,Bosniaks,Bulgarians,Macedonians,Albanians,Arvanites,Greeks,Turks,Tatars,Gagauzians,Romanians,Moldovans,Aromanians,Hungarians,Jews,Roma,Gorans,Egyptians,Ashkali,Muslims,Bosnians,Yugoslavs,Others,Unstated,Unknown,Slovenians,Czechs,Slovaks,Russians,Ukrainians,Belorussians,Ruthenians,Bunjevacis,Poles,Germans,Italians,Georgians,Armenians,Arabs,Maronite Arabs,Orthodox Arabs,Copt Arabs,Catholic Arabs,Sunni Arabs,Shia Arabs,Austrians,British,French,Spanish,Swedish,Finnish,Portugese,Dutch,Danish,Americans,Nigerians,Sri Lankans,Indians,Pakistanis,Bangladeshis,Chinese,Vietnamese,Filippino,Syrians,Iranians,Afghans,Turkmenistanis,Azerbaijanis,Other Europeans,Other Asians,Other Africans,Other North Americans,Latin Americans,Oceania countries,No country declared,Stateless or Unspecified Nationality,religion,Largest Religion,Share of Population,Orthodoxy,Catholicism,Protestantism,Other Christians,Islam,Judaism,Other religions,Atheism,Not stated,Not known
2019,BH059,Bosnia & Herzegovina,Herzegovina-Neretva,Grad Mostar,Croats,0.484096903,Croats,Bosniaks,Serbs,Unstated,Others,Bosnians,Albanians,Roma,Unknown,Muslims,Catholicism,Islam,Orthodoxy,Atheism,Not stated,Not known,Other religions,Other Christians,Protestantism,.,48.05,2202,105797,,4434,33,51216,46752,,21,294,,,6,,,,,,,,257,,,,159,346,83,656,1312,186,35,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholics,0.480032515,4274,50786,55,83,46297,,157,2412,1536,197
2019,BH017,Bosnia & Herzegovina,Herzegovina-Neretva,Jablanica,Bosniaks,0.89457027,Bosniaks,Croats,Unstated,Bosnians,Serbs,Muslims,Roma,Others,Yugoslavs,Yugoslavs,Islam,Catholicism,Not stated,Atheism,Orthodoxy,Not known,Other religions,.,.,.,17.74,570,10111,,63,2,726,9045,,,1,,,1,,,,,,,,27,,,,28,82,3,25,104,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muslims,0.90000989,69,731,,,9100,,2,87,119,3
2019,BH008,Bosnia & Herzegovina,Herzegovina-Neretva,Čapljina,Croats,0.785181787,Croats,Bosniaks,Serbs,Unstated,Others,Muslims,Albanians,Roma,Unknown,Bosnians,Catholicism,Islam,Orthodoxy,Atheism,Not stated,Protestantism,Other religions,Not known,Other Christians,.,55.07,475,26157,,716,5,20538,4541,,8,25,,,,,,,,,,,20,,,,65,11,5,74,124,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholics,0.783040869,709,20482,41,5,4617,,26,134,126,17
2019,BH009,Bosnia & Herzegovina,Herzegovina-Neretva,Čitluk,Croats,0.98676957,Croats,Unknown,Others,Albanians,Bosniaks,Unstated,Serbs,Macedonians,Montenegrins,Montenegrins,Catholicism,Not known,Islam,Orthodoxy,Not stated,Atheism,.,.,.,.,53.04,342,18140,,18,1,17900,29,,2,30,,,,,,,,,,,,,,,-,,,51,21,86,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholics,0.991786108,17,17991,,,39,,,3,6,84
2019,BH021,Bosnia & Herzegovina,Herzegovina-Neretva,Konjic,Bosniaks,0.894146652,Bosniaks,Croats,Serbs,Bosnians,Unstated,Roma,Muslims,Others,Unknown,Albanians,Islam,Catholicism,Orthodoxy,Atheism,Not stated,Other religions,Not known,Other Christians,Protestantism,.,11.53,2182,25148,,357,4,1553,22486,,3,18,,,,,,,,,,,114,,,,89,238,10,83,168,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muslims,0.904564975,348,1535,3,4,22748,,36,272,187,15
2019,BH031,Bosnia & Herzegovina,Herzegovina-Neretva,Prozor,Croats,0.749439776,Croats,Bosniaks,Unknown,Muslims,Unstated,Others,Serbs,Serbs,Yugoslavs,.,Catholicism,Islam,Not known,Atheism,Other religions,Orthodoxy,Orthodoxy,Orthodoxy,.,.,15.49,922,14280,,3,,10702,3525,,,,,,,,,,,,,,,,,,11,3,2,4,7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholics,0.749019608,4,10696,,4,3533,,5,6,4,28
2019,BH077,Bosnia & Herzegovina,Herzegovina-Neretva,Stolac,Croats,0.585160667,Croats,Bosniaks,Serbs,Unknown,Roma,Others,Unstated,Bosnians,Albanians,Muslims,Catholicism,Islam,Orthodoxy,Not known,Not stated,Atheism,Other Christians,Other religions,.,.,27.62,525,14502,,279,1,8486,5544,,,6,,,1,,,,,,,,24,,,,5,13,2,19,18,103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholics,0.585505448,262,8491,,7,5533,,5,38,62,104
2019,BH056,Bosnia & Herzegovina,Herzegovina-Neretva,Ravno,Croats,0.817955887,Croats,Serbs,Bosniaks,Unknown,Unstated,.,.,.,.,.,Catholicism,Orthodoxy,Islam,Not known,Atheism,Atheism,.,.,.,.,5.4,596,3219,,558,,2633,20,,,,,,,,,,,,,,,,,,-,,,-,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholics,0.816091954,558,2627,,,20,,,4,4,6
2019,BH028,Bosnia & Herzegovina,Herzegovina-Neretva,Neum,Croats,0.976359338,Croats,Bosniaks,Serbs,Unstated,Unstated,Albanians,Albanians,Montenegrins,Montenegrins,Montenegrins,Catholicism,Islam,Orthodoxy,Atheism,Not stated,Not known,Other Christians,.,.,.,10.75,433,4653,,21,2,4543,63,,,3,,,,,,,,,,,,,,,-,2,2,3,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholics,0.976789168,18,4545,,1,63,,,11,8,7
2019,BH099,Bosnia & Herzegovina,Sarajevo-Romanija,Istočno N. Sarajevo,Serbs,0.962976884,Serbs,Croats,Roma,Unstated,Bosniaks,Bosnians,Montenegrins,Others,Yugoslavs,Macedonians,Orthodoxy,Islam,Catholicism,Atheism,Not stated,Other Christians,Not known,Other religions,Protestantism,.,145.78,73,10642,,10248,21,107,44,,7,2,,,,,,,,,,,74,,,,3,30,11,20,62,6,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthodox,0.965514001,10275,105,1,9,124,,4,61,58,5
