ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Area,Population,ethnicity,IsiXhosa,IsiZulu,Siswati,Ndebele,Ngoni,Yao,Sesotho,Setswana,Sepedi,Chichewa,Chibarwe,Mang’anja,Nsenga,Nyungwe,Sena,Elomwe,Bemba,Bisa,Lala,Lamba,Lenje,Ushi,Mambwe,Shona,Ndau,Kalanga,Nambya,Tshivenda,Lozi,Toka Leya,Chitonga,Gitonga,Senga,Tumbuka,Makonde,Makhuwa,Mwani,Herero,Kavango,Rukwangali,Rugciriku,Rushambyu,Mbukushu,Oshikolonk,Oshikwaluu,Oshikwambi,Oshikwanya,Oshimbadja,Oshimbalan,Oshindonga,Oshindongo,Oshingandj,Lunda,Luvale,Lungu,Ila,Kaonde,Lambya,Mbunda,Namwanga,Nkhonde,Ronga,Tswa,Tsonga,Caprivi,Chopi,Chwabo,Balke,Subiya,Sifwe,Swahili,Sukwa,Tewe,Zambezi,Totela,Sebirwa,Shekgalagari,Shiyeyi,Khoisan,Khoekhoe,San,Sesarwa,Afrikaans,English,German,Portuguese,Others,Other African Languages ,Other Asian Languages,Other European Languages,Not Stated,Unknown,Sena,Swahili,Tewe,Tswa,Yao,Mang’anja,Sukwa,Lambya,Nkhonde,Lomwe,religion,Largest Religion,Share of Population,Christianity
base,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,,,0
BW001,Botswana,Southeast Botswana,Gaborone City,Setswana,0.7492,Setswana,English,Kalanga,Shona,Others,Shekgalagari,Ndebele,Sepedi,Herero,Afrikaans,252,246327,0,0,0,0,1887,0,0,0,184553,1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5236,0,13364,0,0,0,0,0,0,0,0,0,0,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,2291,235,0,0,0,91,380,31152,0,0,4440,0,0,0,162,0,,,,,,,,,,,,,,
BW002,Botswana,Northeast Botswana,Francistown City,Setswana,0.7107,Setswana,Kalanga,English,Shona,Ndebele,Others,Sebirwa,Afrikaans,Sepedi,Herero,75,103416,0,0,0,0,1422,0,0,0,73493,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1701,0,20282,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,211,0,0,0,0,0,475,3799,0,0,869,0,0,0,0,0,,,,,,,,,,,,,,
BW003,Botswana,Southeast Botswana,Lobatse,Setswana,0.9696,Setswana,English,Sepedi,Shekgalagari,Others,.,.,.,.,.,45,29772,0,0,0,0,0,0,0,0,28867,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,464,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
BW004,Botswana,Central Botswana,Selebi PiWve,Setswana,0.8388,Setswana,Sebirwa,English,Others,Kalanga,Sepedi,Ndebele,Shona,Sesarwa,.,89,42486,0,0,0,0,324,0,0,0,35636,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2315,0,0,0,0,0,115,0,1392,0,0,1009,0,0,0,0,0,,,,,,,,,,,,,,
BW005,Botswana,Central Botswana,Orapa,Setswana,0.8938,Setswana,English,Kalanga,Sepedi,Others,Shekgalagari,.,.,.,.,229,8648,0,0,0,0,0,0,0,0,7730,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,466,0,0,72,0,0,0,0,0,,,,,,,,,,,,,,
BW006,Botswana,Southern Botswana,Jwaneng,Setswana,0.8445,Setswana,English,Shekgalagari,Shona,Afrikaans,Kalanga,.,.,.,.,16,18785,0,0,0,0,0,0,0,0,15863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,0,0,0,0,0,279,1320,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
BW007,Botswana,Central Botswana,Sowa Town,Setswana,0.7294,Setswana,Kalanga,English,Sesarwa,Shona,Sebirwa,Sebirwa,Shekgalagari,Others,.,175,3267,0,0,0,0,0,0,0,0,2383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,15,0,0,0,58,0,115,0,0,11,0,0,0,0,0,,,,,,,,,,,,,,
BW008,Botswana,Southern Botswana,Ngwaketse,Setswana,0.9772,Setswana,English,Shona,Others,Kalanga,Mbukushu,Ndebele,.,.,.,12305,139356,0,0,0,0,67,0,0,0,136180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413,0,0,179,0,0,0,0,0,,,,,,,,,,,,,,
BW009,Botswana,Southern Botswana,Barolong,Setswana,0.9846,Setswana,Others,English,Sebirwa,.,.,.,.,.,.,6353,58904,0,0,0,0,0,0,0,0,57996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,169,0,0,686,0,0,0,0,0,,,,,,,,,,,,,,
