ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Area,Population,ethnicity,Bambara,Mandinka,Maninka,Konyanka Maninka,Mandjak,Marka,North Mande,South Mande,Jahanka,Jalunga,Fulah,Wolof,Lebu Wolof,Akan,Guan,Ga-Dangme,Ewe,Kabyé,Ouatchi,Kotokoli,Mina,Fon,Adja,Mole-Dagbani,Dagara,Nankana,Kasséna,Gurma,Gur,Kusaal,Senoufo,Minianka,Bobo,Bwamu,Koromfé,Bozo,Soninke,Songhay,Djerma,Kru,Grebo,Bassa,Belle,Krahn,Sapo,Dogon,Dogosé,Grusi,Tamasheq,Kissi,Temne,Limba,Loko,Mende,Gola,Gbandi,Loma,Susu,Yalunka,Koranko,Kuranko,Bijagos,Balanta-Ganja,Balanta-Mane,Jola-Fony,Mankanya,Papel,Mancanha,Serer,Soce,Bissa,Birifor,Lobi,Otamari,Kaansa,Karaboro,Hassaniya Arabic,Arabic,Hausa,Casamance Creole,Badyara,Baga,Bainouk,Bankagooma,Bariba,Bassari,Beafada,Biali,Dey,Dyan,Go,Gouin,Krim,Ko,Kono,Koussassé,Kpelle,Mano,Landoma,Lele,Mansoanca,Manya,Ménik,Mixifore,Moba,Mooré,Nalu,Ninkare,Nuna,Oniyan,Samo,Sem,Sherbro,Toussian,Turka,Wamey,Xasonga,Yoa-Lokpa,Losso ,Yoruba,French,English,Krio,Foreigners,Unknown,Others
base,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BN001,Benin,North Benin,Alibori,Bariba,0.371,Bariba,Fulah,Djerma,Others,Yoruba,Foreigners,Otamari,Fon,Yoa-Lokpa,Adja,26795,868046,0,0,0,0,0,0,0,0,0,0,0,230032,0,0,0,0,0,0,0,0,0,0,7812,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10417,0,0,0,0,0,0,0,0,0,0,322045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2604,0,44270,0,0,0,28646,0,46007
BN002,Benin,North Benin,Atacora,Otamari,0.593,Otamari,Bariba,Fulah,Yoa-Lokpa,Others,Fon,Fon,Djerma,Yoruba,Adja,20536,769337,0,0,0,0,0,0,0,0,0,0,0,96167,0,0,0,0,0,0,0,0,0,0,10001,2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456217,0,0,0,0,0,0,0,0,0,0,146174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20003,0,6924,0,0,0,10001,0,13079
BN003,Benin,South Benin,Atlantique,Fon,0.763,Fon,Adja,Yoruba,Foreigners,Djerma,Djerma,Djerma,Others,Otamari,Fulah,3182,1396548,0,0,0,0,0,0,0,0,0,0,0,1397,0,0,0,0,0,0,0,0,0,0,1065566,217861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4190,0,0,0,0,0,0,0,0,0,0,6983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6983,0,62845,0,0,0,18155,0,5585
BN004,Benin,North Benin,Borgou,Bariba,0.376,Bariba,Fulah,Otamari,Yoruba,Fon,Yoa-Lokpa,Djerma,Foreigners,Others,Adja,25697,1202095,0,0,0,0,0,0,0,0,0,0,0,396691,0,0,0,0,0,0,0,0,0,0,52892,12021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91359,0,0,0,0,0,0,0,0,0,0,451988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45680,0,74530,0,0,0,24042,0,14425
BN005,Benin,South Benin,Collines,Yoruba,0.462,Yoruba,Fon,Fulah,Otamari,Yoa-Lokpa,Adja,Foreigners,Others,Djerma,Djerma,14023,716558,0,0,0,0,0,0,0,0,0,0,0,40127,0,0,0,0,0,0,0,0,0,0,275875,12898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19347,0,0,0,0,0,0,0,0,0,0,2866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17914,0,331050,0,0,0,9315,0,4300
BN007,Benin,South Benin,Couffo,Adja,0.907,Adja,Fon,Yoruba,Yoruba,Others,.,.,.,.,.,2421,741895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63061,672899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2226,0,0,0,2226,0,1483
BN006,Benin,North Benin,Donga,Yoa-Lokpa,0.59,Yoa-Lokpa,Fulah,Djerma,Yoruba,Otamari,Bariba,Others,Foreigners,Fon,Adja,11138,542605,0,0,0,0,0,0,0,0,0,0,0,85189,0,0,0,0,0,0,0,0,0,0,6511,2713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24960,0,0,0,0,0,0,0,0,0,0,11395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320137,0,35812,0,0,0,7596,0,7597
BN008,Benin,South Benin,Littoral,Fon,0.565,Fon,Adja,Yoruba,Foreigners,Djerma,Yoa-Lokpa,Others,Bariba,Fulah,Fulah,75,678874,0,0,0,0,0,0,0,0,0,0,0,2037,0,0,0,0,0,0,0,0,0,0,383564,120161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037,0,0,0,0,0,0,0,0,0,0,6110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10862,0,73997,0,0,0,57704,0,9503
BN009,Benin,South Benin,Mono,Adja,0.69,Adja,Fon,Foreigners,Yoruba,Others,Fulah,Fulah,Fulah,Fulah,.,1578,495307,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,137695,341762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,2972,0,0,0,8916,0,1982
