Data Year,ID,Country,Province,District,Largest Group,Percent of Population,oneGroup,twoGroup,threeGroup,fourGroup,fiveGroup,sixGroup,sevenGroup,eightGroup,nineGroup,tenGroup,Density,Area,Population,ethnicity,Sunni Arabs,Salafi Arabs,Shia Arabs,Alawites,Ibadi Arabs,South Arabians,Druze,Orthodox Arabs,Catholic Arabs,Protestant Arabs,Maronites,Copts,Kurds,Zazas,Turks,North Caucasian,Circassians,Chechens,Georgians,Lazi,Armenians,Assyrians,Jews,Other Arabs,No religion classification,Others,Foreigners,Others Foreigners,Yazidis,Mandaeans,Ajams/ Iranians,Kyrgyz,Kazakhs,Dagestani,Azeris,Syrians,Afghans,Indians,Pakistanis,Bangladeshis,Sri Lankans,Nepalis,Fillipinos,Southeast Asians,East Asians,Africans,Europeans,Americas/ Pacific,Egypt,Tanzania,Sudan,Bosnians,Albanians,Pomaks,Roma,Greeks,Ossetians,Balochis,Zadjali,Zanzibaris,Al-Luwatiyyah,Kumzaris,Banyans,religion,Largest Religion,Share of Population,Islam
,base,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
,IQ01,Iraq,Al-Anbar,Al-Falluja,Sunni Arabs,0.949999033,Sunni Arabs,Shia Arabs,.,.,.,.,.,.,.,.,,4404,620688,,589653,0,31035,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ02,Iraq,Al-Anbar,Al-Kaim,Sunni Arabs,1,Sunni Arabs,.,.,.,.,.,.,.,.,.,,8413,193606,,193606,0,0,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ03,Iraq,Al-Anbar,Al-Ramadi,Sunni Arabs,0.9,Sunni Arabs,Shia Arabs,.,.,.,.,.,.,.,.,,8548,690320,,621288,0,69032,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ04,Iraq,Al-Anbar,Al-Rutba,Sunni Arabs,1,Sunni Arabs,.,.,.,.,.,.,.,.,.,,80224,50824,,50824,0,0,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ05,Iraq,Al-Anbar,Ana,Sunni Arabs,1,Sunni Arabs,.,.,.,.,.,.,.,.,.,,11361,60001,,60001,0,0,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ06,Iraq,Al-Anbar,Haditha,Sunni Arabs,1,Sunni Arabs,.,.,.,.,.,.,.,.,.,,3480,114213,,114213,0,0,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ07,Iraq,Al-Anbar,Heet,Sunni Arabs,1,Sunni Arabs,.,.,.,.,.,.,.,.,.,,7381,184513,,184513,0,0,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ08,Iraq,Al-Basrah,Abu Al-Khaseeb,Shia Arabs,1,Shia Arabs,.,.,.,.,.,.,.,.,.,,1144,241667,,0,0,241667,0,,,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQ09,Iraq,Al-Basrah,Al-Basrah,Shia Arabs,0.994999307,Shia Arabs,Assyrians,Mandaeans,Armenians,.,.,.,.,.,.,,1209,1551785,,0,0,1544025,0,,,0,0,0,0,0,0,0,,0,,0,0,,,1164,3492,0,,0,0,,,0,3104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
